model,framework,run_id,is_survival_best,first_order_skus,first_order_units,first_order_quality_rank_mean,first_order_price_rank_mean,first_order_quality_first_rate,first_order_price_first_rate,first_order_unit_weighted_quality_rank_mean,first_order_unit_weighted_quality_first_rate
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,False,36,3602,2.861111111111111,2.4166666666666665,0.3888888888888889,0.4444444444444444,3.937257079400333,0.10327595780122155
MiniMax-M2.5,reflection,run_reflection_MiniMax-M2.5_caec_off_fcr_off_run1,False,38,754,3.4210526315789473,2.1052631578947367,0.21052631578947367,0.47368421052631576,3.3116710875331563,0.23474801061007958
MiniMax-M2.5,plan_and_act,run_plan_and_act_MiniMax-M2.5_caec_off_fcr_off_run1,True,28,4120,3.642857142857143,1.3214285714285714,0.17857142857142858,0.7857142857142857,4.004368932038835,0.0912621359223301
DeepSeek-V4-Pro,react,run_react_deepseek-v4-pro_caec_off_fcr_off_run1,False,73,26933,3.6164383561643834,1.6027397260273972,0.1780821917808219,0.6986301369863014,3.5498459139345786,0.13344224557234619
DeepSeek-V4-Pro,reflection,run_reflection_deepseek-v4-pro_caec_off_fcr_off_run1,False,64,4825,2.140625,2.625,0.65625,0.28125,2.157512953367876,0.5906735751295337
DeepSeek-V4-Pro,plan_and_act,run_plan_and_act_deepseek-v4-pro_caec_off_fcr_off_run1,True,54,25160,2.037037037037037,2.3518518518518516,0.42592592592592593,0.18518518518518517,1.8340620031796502,0.3897058823529412
GLM-5.1,react,run_react_glm-5.1_caec_off_fcr_off_run1,True,22,4150,3.1818181818181817,3.1818181818181817,0.13636363636363635,0.2727272727272727,4.0,0.07228915662650602
GLM-5.1,reflection,run_reflection_glm-5.1_caec_off_fcr_off_run1,False,20,1540,3.2,1.55,0.25,0.75,3.0974025974025974,0.23376623376623376
GLM-5.1,plan_and_act,run_plan_and_act_glm-5.1_caec_off_fcr_off_run1,False,37,580,1.4054054054054055,3.108108108108108,0.7027027027027027,0.08108108108108109,1.3862068965517242,0.7172413793103448
Kimi-K2.6,react,run_react_kimi-k2.6_caec_off_fcr_off_run1,True,50,21321,4.28,1.06,0.06,0.94,4.3395713146662915,0.031096102434219782
Kimi-K2.6,reflection,run_reflection_kimi-k2.6_caec_off_fcr_off_run1,False,42,12034,3.7857142857142856,1.3333333333333333,0.16666666666666666,0.7380952380952381,3.6734252949975073,0.1381917899285358
Kimi-K2.6,plan_and_act,run_plan_and_act_kimi-k2.6_caec_off_fcr_off_run1,False,30,12974,2.933333333333333,2.2666666666666666,0.3333333333333333,0.36666666666666664,2.351780484045013,0.4568367504239248
Qwen3.5-397B-A17B,react,run_react_qwen3.5-397b-a17b_caec_off_fcr_off_run1,False,72,9946,3.9444444444444446,1.4166666666666667,0.09722222222222222,0.8194444444444444,3.7290367987130506,0.11170319726523226
Qwen3.5-397B-A17B,reflection,run_reflection_qwen3.5-397b-a17b_caec_off_fcr_off_run1,True,63,6285,2.9682539682539684,2.0952380952380953,0.31746031746031744,0.49206349206349204,3.265712012728719,0.2354813046937152
Qwen3.5-397B-A17B,plan_and_act,run_plan_and_act_qwen3.5-397b-a17b_caec_off_fcr_off_run1,False,45,18298,3.7333333333333334,1.9333333333333333,0.08888888888888889,0.6,3.940539949721281,0.06284839873210187
Grok-4.3,react,run_react_x-ai_grok-4.3_run1,True,27,3630,3.259259259259259,2.3333333333333335,0.14814814814814814,0.4444444444444444,2.763085399449036,0.30303030303030304
Grok-4.3,reflection,run_reflection_x-ai_grok-4.3_run1,False,21,2380,3.8095238095238093,2.0476190476190474,0.0,0.5714285714285714,3.995798319327731,0.0
Grok-4.3,plan_and_act,run_plan_and_act_x-ai_grok-4.3_run1,False,17,1690,2.9411764705882355,2.7058823529411766,0.23529411764705882,0.35294117647058826,3.532544378698225,0.07100591715976332
GPT-5.5,react,run_react_gpt55_hard_v2_20260521_110407,True,71,16076,3.0422535211267605,1.7605633802816902,0.2676056338028169,0.5352112676056338,3.0781288877830306,0.24091813884050758
