model,framework,run_id,run_type,run_days,final_networth,total_sales,avg_daily_sold_skus,return_ratio,expired_ratio,stockout_ratio,s1_avg_acted_skus_per_day,s1_total_distinct_acted_skus,s1_acted_sku_events,s1_action_to_sales_overlap_7d,s1_missed_high_demand_rate,s1_action_concentration_hhi,s1_top10_action_share,s1_category_coverage,s2_query_depth,s2_place_order_query_depth,s2_modify_price_query_depth,s2_evidence_action_match_rate,s2_missing_critical_evidence_rate,s2_avg_evidence_call_gap,s2_avg_pre_action_tool_diversity,s2_query_to_action_overlap_same_day,s3_attempted_business_actions,s3_executed_business_actions,s3_invalid_or_blocked_action_rate,s4_followup_query_or_action_rate_7d,s4_followup_action_rate_7d,s4_unresolved_event_rate_7d,s4_avg_response_latency_days,s4_focus_continuity_jaccard,s4_repeated_error_without_intervention_rate,s3_action_correction,s3_action_eval_count,s3_place_order_correction,s3_place_order_eval_count,s3_modify_price_correction,s3_modify_price_eval_count,s3_raw_quality_top1_hit,s3_quality_regret_mean,s3_quality_ratio_mean,s3_order_qty_to_avg_daily_sales_mean,s3_modify_price_distance_pct_mean,s3_modify_price_distance_pct_median,s3_modify_price_distance_pct_p90,s3_modify_price_distance_pct_max,s3_modify_price_signed_distance_pct_mean,s3_modify_price_above_optimal_rate,s3_modify_price_below_optimal_rate,s3_supplier_price_rank_mean,s3_supplier_quality_rank_mean,s3_supplier_candidate_count_mean,s3_supplier_price_first_rate,s3_supplier_quality_first_rate
MiniMax-M2.5,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,llm,61.0,1788.2447626720257,22384.0,14.639344262295081,0.10413688348820586,0.0027621847990733314,0.819672131147541,3.262295081967213,36,228,0.9210526315789473,0.7446808510638298,0.03735764850723299,0.44298245614035087,15,0.7401315789473685,0.7362385321100917,0.825,1.0,0.8859649122807017,2.0,4.609649122807017,0.04789410348977136,121,109,0.09917355371900827,1.0,0.39473684210526316,0.02924791086350975,1.0444763271162123,0.03589574006240673,0.047697368421052634,0.14473684210526316,228,0.14220183486238533,218,0.2,10,0.19724770642201836,1.8029958715596328,0.6269733128731123,4.996896470460275,32.7990431906572,31.596708399523244,54.42418090450249,82.8858034130528,-16.221882508046647,0.1,0.9,2.0137614678899083,3.4128440366972477,5.0,0.5688073394495413,0.19724770642201836
MiniMax-M2.5,reflection,run_reflection_MiniMax-M2.5_caec_off_fcr_off_run1,llm,56.0,416.96555345789216,16819.0,7.732142857142857,0.10410844877816755,0.00854751237915586,0.6607142857142857,2.607142857142857,43,244,0.5081967213114754,0.8032786885245902,0.04074845471647406,0.48360655737704916,13,0.4661885245901639,0.6025641025641025,0.22443181818181818,0.8483606557377049,0.9549180327868853,6.1352657004830915,2.5450819672131146,0.04590163934426229,150,147,0.020000000000000018,1.0,0.19672131147540983,0.023696682464454975,1.3446601941747574,0.013120567375886525,0.17295597484276728,0.11475409836065574,244,0.12179487179487179,156,0.10227272727272728,88,0.1858974358974359,1.8025801282051281,0.6240208313801328,3.8366613685648585,36.256612785903506,45.32364723360649,50.9221417002009,65.62619353494671,-31.920521488613506,0.14772727272727273,0.8522727272727273,2.08974358974359,3.4294871794871793,5.0,0.5256410256410257,0.1858974358974359
MiniMax-M2.5,plan_and_act,run_plan_and_act_MiniMax-M2.5_caec_off_fcr_off_run1,llm,73.0,-397.9498191216843,23521.0,12.082191780821917,0.10773351473151652,0.004949657331415517,0.7123287671232876,2.3972602739726026,29,199,0.9296482412060302,0.7770800627943485,0.04487260422716598,0.5477386934673367,14,0.785175879396985,0.7808988764044944,0.8214285714285714,1.0,0.7236180904522613,1.9698492462311559,3.492462311557789,0.047116165718927704,119,117,0.01680672268907568,1.0,0.32663316582914576,0.01702127659574468,1.1356421356421356,0.009887477718360071,0.1026936026936027,0.17587939698492464,199,0.14606741573033707,178,0.42857142857142855,21,0.1404494382022472,1.7236792134831462,0.6434955810987673,3.979745168406494,26.989252385674757,22.222222222222207,67.64277624979778,72.90506921523227,-20.7193295542739,0.42857142857142855,0.5714285714285714,1.949438202247191,3.455056179775281,5.0,0.5898876404494382,0.1404494382022472
DeepSeek-V4-Pro,react,run_react_deepseek-v4-pro_caec_off_fcr_off_run1,llm,144.0,-1554.4708507118362,134931.0,30.17361111111111,0.09675315531642098,0.05728358834625864,0.5555555555555556,5.388888888888889,73,848,0.9162735849056604,0.45272969374167776,0.02327340690637238,0.3266509433962264,20,0.9316037735849056,0.9294003868471954,0.9350453172205438,1.0,0.25589622641509435,4.043632075471698,5.884433962264151,0.06972773834127055,631,630,0.0015847860538826808,0.9976415094339622,0.5436320754716981,0.0006029544769369913,1.0280542986425338,0.09046856416008162,0.01832208293153327,0.22007255139056833,827,0.21442495126705652,513,0.22929936305732485,314,0.19148936170212766,1.7722671179883944,0.6322167384646201,8.513225320866844,26.855580503732686,21.177203363438174,57.815559455491154,86.23853211009174,-15.495671424094322,0.33121019108280253,0.6592356687898089,1.678916827852998,3.4371373307543522,5.0,0.5705996131528046,0.19148936170212766
DeepSeek-V4-Pro,reflection,run_reflection_deepseek-v4-pro_caec_off_fcr_off_run1,llm,94.0,-1792.1316699994368,33593.0,25.97872340425532,0.09802637454231536,0.04524655392923121,0.776595744680851,9.670212765957446,64,992,0.9445564516129032,0.4170755642787046,0.020350302419354826,0.2852822580645161,19,0.8455141129032258,0.8270712909441233,0.8657505285412262,1.0,0.4526209677419355,6.413306451612903,5.338709677419355,0.1274001401541696,720,715,0.00694444444444442,0.9979838709677419,0.7389112903225806,0.0068212824010914054,1.007554945054945,0.19000501580362347,0.004792332268370607,0.18071065989847715,985,0.1718146718146718,518,0.1905781584582441,467,0.23699421965317918,1.6066084778420036,0.6666727472473064,3.8850764129635453,38.6648698551596,30.22222222222223,80.84627424923781,204.56563816463623,2.437009822128636,0.5610278372591007,0.43683083511777304,1.9653179190751444,3.2716763005780347,5.0,0.5105973025048169,0.23699421965317918
DeepSeek-V4-Pro,plan_and_act,run_plan_and_act_deepseek-v4-pro_caec_off_fcr_off_run1,llm,180.0,10120.900683892261,164417.0,32.56666666666667,0.0858183764452581,0.014428379609648491,0.6444444444444445,7.888888888888889,54,1662,0.9626955475330926,0.3285859613428281,0.023203598233899683,0.3212996389891697,19,0.9279482551143201,0.9627906976744186,0.8905860349127181,1.0,0.2190132370637786,7.580625752105896,5.604091456077016,0.14281376518218625,1265,1262,0.002371541501976271,0.9951865222623345,0.7316486161251504,0.0028089887640449437,1.056594110115237,0.10436513462136733,0.037137435619409055,0.2705373687461396,1619,0.2741176470588235,850,0.2665799739921977,769,0.23255813953488372,1.6407195348837207,0.6604144656675266,6.952084984845458,25.46108204728545,20.2020202020202,54.6875,86.95652173913045,-14.331643837795042,0.33029908972691807,0.6410923276983095,1.666279069767442,3.2872093023255813,5.0,0.5569767441860465,0.23255813953488372
GLM-5.1,react,run_react_glm-5.1_caec_off_fcr_off_run1,llm,60.0,-2134.363292402812,7016.0,3.966666666666667,0.1346921322690992,0.029733093624671553,0.23333333333333334,0.95,25,81,0.8641975308641975,0.8817733990147784,0.04801097393689984,0.5679012345679012,19,0.8333333333333334,0.7819148936170213,0.9044117647058824,1.0,0.5185185185185185,3.4074074074074074,5.098765432098766,0.06968215158924206,48,47,0.02083333333333337,1.0,0.08641975308641975,0.17365269461077845,3.420289855072464,0.0,0.7022900763358778,0.16455696202531644,79,0.23404255319148937,47,0.0625,32,0.3191489361702128,0.9709085106382979,0.7979638970405685,6.156584419434412,36.494144716823186,24.20712117192797,81.87069970607637,160.07899247335868,20.502863699625728,0.6875,0.3125,3.234042553191489,2.5531914893617023,5.0,0.1702127659574468,0.3191489361702128
GLM-5.1,reflection,run_reflection_glm-5.1_caec_off_fcr_off_run1,llm,49.0,4619.756751052236,6770.0,6.775510204081633,0.11447562776957164,0.008639625128130034,0.46938775510204084,1.3877551020408163,20,289,0.916955017301038,0.7346278317152104,0.1479268686917063,0.8823529411764706,13,0.18166089965397925,0.5213414634146342,0.04710144927536232,1.0,0.9584775086505191,8.615916955017301,1.6193771626297577,0.18846153846153846,368,247,0.3288043478260869,0.44982698961937717,0.3217993079584775,0.4194915254237288,2.6350364963503647,0.03870967741935484,0.6896551724137931,0.25951557093425603,289,0.21951219512195122,82,0.2753623188405797,207,0.10975609756097561,2.201637804878049,0.5420382617013046,6.206408311372363,40.32565345890086,10.050251256281404,75.95623803894196,272.08607292289304,37.6478789426484,0.9227053140096618,0.07246376811594203,1.4878048780487805,3.817073170731707,5.0,0.6707317073170732,0.10975609756097561
GLM-5.1,plan_and_act,run_plan_and_act_glm-5.1_caec_off_fcr_off_run1,llm,56.0,-2824.7826066051803,739.0,1.375,0.03382949932341001,0.0,0.19642857142857142,0.9464285714285714,37,53,0.3584905660377358,0.8064516129032258,0.030259878960484148,0.37735849056603776,18,0.6367924528301887,0.63,0.75,1.0,0.7547169811320755,5.886792452830188,3.6792452830188678,0.22943722943722944,15,12,0.19999999999999996,0.6981132075471698,0.0,0.640625,1.0,0.0,0.35714285714285715,0.2830188679245283,53,0.26,50,0.6666666666666666,3,0.56,0.57097,0.882202869920971,1.0878779123841924,24.114539205521098,9.691128481444952,44.59231245662128,53.31760845041536,11.430533094755807,0.3333333333333333,0.6666666666666666,2.8,2.0,5.0,0.12,0.56
Kimi-K2.6,react,run_react_kimi-k2.6_caec_off_fcr_off_run1,llm,130.0,792.1928887377429,86214.0,25.73076923076923,0.12263669473635372,0.041065112450781927,0.47692307692307695,3.453846153846154,50,567,0.9682539682539683,0.6166666666666667,0.02741928961799625,0.38271604938271603,20,0.9052028218694885,0.8853211009174312,0.9322916666666666,1.0,0.31040564373897706,7.338624338624339,6.155202821869489,0.040865384615384616,421,420,0.002375296912114022,0.9964726631393298,0.43562610229276894,0.008161678973960357,1.14576802507837,0.0410118795567712,0.10819672131147541,0.24531835205992508,534,0.18670886075949367,316,0.3302752293577982,218,0.12538226299694188,2.202456574923547,0.5429731842998059,9.304405979369271,22.06754534609507,17.874845743670047,46.85345479592189,168.43235504652824,-4.51835429330975,0.44495412844036697,0.555045871559633,1.2813455657492354,3.8929663608562692,5.0,0.8134556574923547,0.12538226299694188
Kimi-K2.6,reflection,run_reflection_kimi-k2.6_caec_off_fcr_off_run1,llm,66.0,5902.325917044702,30783.0,10.924242424242424,0.11207484650618849,0.00016240093542938807,0.4696969696969697,3.272727272727273,42,543,0.9871086556169429,0.6020408163265306,0.31603634402694214,0.7918968692449355,19,0.9677716390423573,0.8869047619047619,0.9922062350119905,1.0,0.1141804788213628,40.476979742173114,6.084714548802946,0.03543177323665129,498,490,0.016064257028112428,1.0,0.8324125230202578,0.0,1.0322085889570551,0.08962720890825465,0.01263537906137184,0.11090573012939002,541,0.1532258064516129,124,0.09832134292565947,417,0.18253968253968253,2.1595682539682537,0.5529129755424929,6.455796902122069,23.626212254789586,21.621621621621625,38.952833488943966,84.85949612403101,9.188503151175468,0.7889688249400479,0.20863309352517986,1.2619047619047619,3.7857142857142856,5.0,0.8174603174603174,0.18253968253968253
Kimi-K2.6,plan_and_act,run_plan_and_act_kimi-k2.6_caec_off_fcr_off_run1,llm,89.0,-1996.520151287581,48955.0,12.134831460674157,0.09114492901644368,0.00159076540289193,0.651685393258427,3.0898876404494384,31,313,0.9073482428115016,0.5438813349814586,0.045146934234298594,0.5303514376996805,18,0.9353035143769968,0.9343575418994413,0.9365671641791045,1.0,0.24920127795527156,4.233226837060703,6.1309904153354635,0.03651573496215642,226,225,0.004424778761061954,1.0,0.5335463258785943,0.0042417815482502655,1.1001064962726304,0.0656687245503035,0.08502994011976048,0.15806451612903225,310,0.11173184357541899,179,0.22137404580152673,131,0.16759776536312848,1.7336497206703911,0.642305305471363,5.4014191682641535,28.354002524501592,25.0,53.66860416140173,77.3629588354113,-22.26359091759309,0.25190839694656486,0.7404580152671756,1.687150837988827,3.3854748603351954,5.0,0.553072625698324,0.16759776536312848
